Section,Claim,Evidence file/function,Confidence,What I should manually check
Endpoints,"GET / returns 200 (implicit default), a dict with name/docs/health/tasks links","app/main.py:53 root()",High,"None — no error paths, plain dict return"
Endpoints,"GET /json/version returns 200 (implicit default), dict with name/version","app/main.py:63 json_version()",High,None
Endpoints,"GET /health returns 200 (implicit default), body = HealthResponse","app/main.py:72 health()",High,"app/schemas.py for HealthResponse shape (out of scope here)"
Endpoints,"GET /tasks returns 200 (implicit default), list of TaskResponse, filterable by status, priority, tag query params","app/main.py:80 list_tasks()",High,"app/storage.py::get_all_tasks for actual filter semantics"
Endpoints,"POST /tasks returns explicit 201, body = TaskResponse","app/main.py:89 create_task(), status_code=status.HTTP_201_CREATED",High,"app/storage.py::add_task for validation/id-generation not visible in main.py"
Endpoints,"GET /tasks/{task_id} returns 200 or 404 (""Task with id {id} not found"")","app/main.py:94-102 get_task()",High,None — logic fully visible
Endpoints,"PATCH /tasks/{task_id} returns 200, or 404 (task missing — checked twice, once pre-transition-check and once post-update), or 422 (ValueError from storage.update_task, message from exception)","app/main.py:106-129 update_task()",High,"Whether validate_status_transition itself raises an HTTPException (and what status code) — [VERIFY], not defined in main.py or models.py, only imported from app.business_rules at app/main.py:25"
Endpoints,"DELETE /tasks/{task_id} returns explicit 204 (no body) or 404 if not deleted","app/main.py:132-139 delete_task(), status_code=status.HTTP_204_NO_CONTENT",High,None
Endpoints,"POST /tasks/{task_id}/comments returns explicit 201, or 422 (ValueError from storage.add_comment), or 404 if comment is None (task not found)","app/main.py:142-161 create_comment()",High,"app/storage.py::add_comment — what condition raises ValueError vs returns None (e.g. ""task already has a comment"" vs ""task not found"") is not distinguishable from main.py alone — [VERIFY]"
Endpoints,"GET /tasks/{task_id}/comments returns 200, or 404 with two distinct messages depending on whether the task exists but has no comment vs task doesn't exist","app/main.py:164-181 read_comment()",High,"None — both branches visible via storage.get_comment returning (exists, comment) tuple"
Endpoints,"PATCH /tasks/{task_id}/comments returns 200 or 404 (""Comment for task id {id} not found"")","app/main.py:184-196 patch_comment()",Medium,"This 404 message doesn't distinguish ""task not found"" from ""comment not found"" the way read_comment does — [VERIFY] in app/storage.py::update_comment whether task-not-found and comment-not-found are actually distinguished internally"
Endpoints,"PUT /tasks/{task_id}/comments returns 200 or 404 (same message as PATCH)","app/main.py:199-211 put_comment()",Medium,"Same as above — [VERIFY] in app/storage.py::replace_comment"
Endpoints,"DELETE /tasks/{task_id}/comments returns explicit 204, or 404 (task not found), or 404 (comment not found) — two distinct checks","app/main.py:214-230 remove_comment()",High,None — both branches visible
Status transitions,"Three status values exist: ToDo, InProgress, Done","app/models.py:36-39 TaskStatus(str, Enum)",High,None
Status transitions,"Default status on task creation is ToDo","app/models.py:82 TaskCreate.status: TaskStatus = TaskStatus.TODO",High,None
Status transitions,"TaskUpdate.status is optional (None = no change requested)","app/models.py:119 TaskUpdate.status: Optional[TaskStatus] = None",High,None
Status transitions,"On PATCH /tasks/{id}, if status is provided, the API loads the existing task and calls validate_status_transition(existing.status, payload.status) before applying the update","app/main.py:107-115 update_task()",High,None — call site is visible
Status transitions,"The actual set of allowed/forbidden transitions (e.g. can ToDo go directly to Done?) is NOT visible in app/main.py or app/models.py",—,[VERIFY],"Read app/business_rules.py::validate_status_transition directly — not in the two files reviewed"
Status transitions,"Whether validate_status_transition raises HTTPException itself, returns a bool, or raises a plain exception caught elsewhere",—,[VERIFY],"Read app/business_rules.py; main.py calls it with no surrounding try/except, implying it likely raises HTTPException directly, but this is inference, not evidence"
